address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Solo 35,0.0,0.0,0.0,sale,2022-04-13 11:58:12+00:00,Oranjestad Oost,Tarabana,1005.0,freehold,False,land,362022.13
Cadushi Largo 8 H,2.0,3.0,136.0,sale,2022-04-13 11:57:17+00:00,Santa Cruz,Cashero,742.0,leasehold,False,house,251423.4
Caya Bembe 9,1.0,1.0,0.0,rent,2022-04-11 12:29:23+00:00,Paradera,Ayo,0.0,,False,commercial,1306.7
Esmeralda 100,3.0,5.0,0.0,sale,2022-04-09 14:58:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,907.0,,False,house,935275.0
Cudawecha ,2.0,3.0,0.0,rent,2022-04-09 14:57:03+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,2514.9500000000003
Dominicanessenstraat 2,0.0,0.0,0.0,sale,2022-04-09 14:56:18+00:00,Oranjestad Oost,Sividivi,197.0,,False,commercial,401242.82
Calbas ,1.0,1.0,0.0,rent,2022-04-07 12:28:48+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,1005.98
Esmeralda 121 C,3.0,4.0,0.0,sale,2022-04-06 09:55:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1969000.0
Palm Beach 1,1.0,1.0,0.0,rent,2022-04-01 13:07:48+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,apartment,2506.0
Bubali 2,1.0,2.0,0.0,rent,2022-04-01 13:07:42+00:00,Noord/Tanki Leendert,Washington,0.0,,False,apartment,1759.57
Palm Beach ,1.0,3.0,0.0,rent,2022-04-01 13:07:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1005.98
Palm Beach 200,1.0,2.0,73.0,rent,2022-04-01 13:06:38+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,house,2488.1
Sabana Blanco 68,1.0,1.0,0.0,rent,2022-03-31 12:16:40+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,apartment,1231.52
Madiki 109 D,0.0,0.0,430.0,sale,2022-03-30 12:56:35+00:00,Oranjestad West,Madiki/Rancho,430.0,freehold,False,land,221244.0
Moco 201,3.0,3.0,0.0,sale,2022-03-30 12:53:20+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,850250.0
Alto Vista 56 T,1.0,1.0,32.0,rent,2022-03-29 13:15:22+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,905.74
Papaya 1,1.0,1.0,0.0,rent,2022-03-29 13:12:32+00:00,Paradera,Shiribana,0.0,,True,apartment,1381.88
J.E. Irausquin Boulevard 260,2.0,2.0,0.0,sale,2022-03-29 13:10:47+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,1700500.0
Ponton ,1.0,1.0,0.0,rent,2022-03-27 14:41:21+00:00,Oranjestad West,Ponton,0.0,,False,apartment,855.62
Palm Beach ,1.0,2.0,0.0,rent,2022-03-27 14:34:36+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,2237.5
Caya Papa Juan Pablo II (Rondweg) ,0.0,0.0,2.0,sale,2022-03-27 14:32:54+00:00,Oranjestad Oost,Dakota/Potrero,2.0,leasehold,False,commercial,1061863.8
Tanki Leendert ,3.0,3.0,213.0,sale,2022-03-27 14:10:32+00:00,Noord/Tanki Leendert,Tanki Leendert,864.0,leasehold,False,house,288220.43
J.E. Irausquin Boulevard 260,2.0,3.0,115.4,sale,2022-03-26 12:19:10+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,340.2,,True,house,1065050.0
